idx,folder_name,class_name
0,,aeroplane
1,,bag
2,,bed
3,,bedclothes
4,,bench
5,,bicycle
6,,bird
7,,boat
8,,book
9,,bottle
10,,building
11,,bus
12,,cabinet
13,,car
14,,cat
15,,ceiling
16,,chair
17,,cloth
18,,computer
19,,cow
20,,cup
21,,curtain
22,,dog
23,,door
24,,fence
25,,floor
26,,flower
27,,food
28,,grass
29,,ground
30,,horse
31,,keyboard
32,,light
33,,motorbike
34,,mountain
35,,mouse
36,,person
37,,plate
38,,platform
39,,pottedplant
40,,road
41,,rock
42,,sheep
43,,shelves
44,,sidewalk
45,,sign
46,,sky
47,,snow
48,,sofa
49,,table
50,,track
51,,train
52,,tree
53,,truck
54,,tvmonitor
55,,wall
56,,water
57,,window
58,,wood
